"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg"
11535,572,"Senior Data Analyst","Senior Data Analyst","Cajamarca, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:47",1,"","Peru","","",""
16279,806,"Data Engineer","Mid Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","","Peru","2023-06-01 18:28:02",1,"","Peru","","",""
18218,903,"Data Scientist","Consultor Data Science","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-03-23 17:28:55","","","Peru","","",""
21958,767,"Data Engineer","Data Platform Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-05-25 17:44:01",1,"","Peru","","",""
25517,806,"Data Scientist","Data Modeler","Lima, Peru","via BeBee","Full-time","","Peru","2023-10-21 17:11:04",1,"","Peru","","",""
45188,2129,"Data Engineer","Growth Marketing and Data Engineer","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-05-15 18:30:10",1,"","Peru","","",""
50346,2335,"Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org","Full-time","","Peru","2023-03-19 17:35:09","","","Peru","","",""
63513,2902,"Data Engineer","Data Engineer","Lima, Peru","via Linkedin","Full-time","","Peru","2023-01-11 17:20:58","","","Peru","","",""
82559,3631,"Software Engineer","Software Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-03-15 17:15:47",1,"","Peru","","",""
87418,3838,"Data Engineer","Data Engineer - Work from home","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-09-11 17:25:10","","","Peru","","",""
90709,2902,"Data Analyst","Data Analyst Jr de Soluciones de Pago","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:42:50","","","Peru","","",""
95223,4147,"Data Engineer","Ingeniero de datos","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-05-26 17:32:03",1,"","Peru","","",""
95650,2902,"Data Scientist","Data Scientist Expert","Lima, Peru","via Indeed","Full-time","","Peru","2023-07-06 17:23:44","","","Peru","","",""
99708,4327,"Data Scientist","Data Scientist - Machine Learning","Lima, Peru","via Laborum","Full-time","","Peru","2023-03-07 17:50:43","","","Peru","","",""
105251,4550,"Data Engineer","Especialista Big Data","Lima, Peru","via BeBee","Full-time","","Peru","2023-10-03 17:43:09",1,"","Peru","","",""
112966,4847,"Data Engineer","Data Engineer","Peru","via Trabajo.org","Full-time","","Peru","2023-03-19 17:35:09",1,"","Peru","","",""
135275,5687,"Senior Data Scientist","Senior Data Scientist","Lima, Peru","via Trabajo.org","Full-time","","Peru","2023-04-11 18:50:10","","","Peru","","",""
154049,6363,"Senior Data Scientist","Senior Data Scientist","Peru","via LinkedIn","Full-time","","Peru","2023-12-06 17:11:12","","","Peru","","",""
158665,6521,"Data Analyst","Sr Data Analyst","San Borja, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:43:03",1,"","Peru","","",""
186457,2902,"Data Scientist","Data Scientist Advisor","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-12-26 17:23:53","","","Peru","","",""
193461,7706,"Software Engineer","Engineer I","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:43:03",1,"","Peru","","",""
212921,8340,"Data Engineer","Data Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:43:01",1,"","Peru","","",""
217584,1044,"Data Scientist","Data Scientist para Consultoría en Servicios Financieros.","Lima, Peru","via Indeed","Full-time","","Peru","2023-04-02 17:23:46","","","Peru","","",""
226155,2902,"Data Analyst","Data Analyst de Transformación Digital","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-04-04 17:53:46","","","Peru","","",""
241190,9199,"Data Scientist","Tech Lead Data Snowflake","Peru","via LinkedIn","Full-time","","Peru","2023-04-12 17:58:08",1,"","Peru","","",""
247495,9413,"Data Engineer","Data Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-13 17:15:37","","","Peru","","",""
261085,9848,"Data Scientist","DataScience Intern/Jr. Analyst","Lima, Peru","via BeBee Perú","Internship","","Peru","2023-02-02 17:18:49","","","Peru","","",""
261939,9871,"Data Engineer","Data Engineer","Miraflores, Peru","via LinkedIn","Full-time","","Peru","2023-09-26 17:25:35","","","Peru","","",""
268870,2179,"Data Engineer","Data Engineer - Freelance [Remote]","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-06-12 18:07:55",1,"","Peru","","",""
282717,10513,"Data Analyst","Pm Data Analytics","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:42:50","","","Peru","","",""
282836,10517,"Data Scientist","Convocatoria para Practicante Data Scientist","Lima, Peru","via Practicas.pe","Full-time","","Peru","2023-06-01 18:28:02","","","Peru","","",""
305093,7983,"Software Engineer","Mid Java Back-end Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-19 17:47:35",1,"","Peru","","",""
313862,11468,"Senior Data Engineer","Senior Data Engineer- Datalake","Lima, Peru","via Laborum","Full-time","","Peru","2023-04-10 17:51:51",1,"","Peru","","",""
342767,7983,"Data Engineer","Mid Data Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-13 17:15:37",1,"","Peru","","",""
349673,12552,"Data Analyst","Data Analyst","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-03-23 17:28:52","","","Peru","","",""
351665,12609,"Senior Data Scientist","Senior Data Scientist Acoe","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:42:58","","","Peru","","",""
367023,6521,"Data Engineer","Azure Data Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-08-11 17:30:51",1,"","Peru","","",""
374069,13198,"Senior Data Analyst","Especialista Senior de Data Analytics","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:42:56","","","Peru","","",""
385311,572,"Cloud Engineer","Web Analytics Consultant","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:38",1,"","Peru","","",""
392641,13744,"Data Engineer","Data Engineer","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-06-28 18:09:16","","","Peru","","",""
397458,13871,"Data Scientist","DATA SCIENTIST","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-04-26 18:36:10","","","Peru","","",""
415188,14319,"Senior Data Engineer","Data Engineer Ssr - DataStage","Peru","via LinkedIn","Full-time","","Peru","2023-02-15 18:13:32","","","Peru","","",""
419720,14436,"Senior Data Scientist","Analytics Senior","Peru","via LinkedIn","Full-time","","Peru","2023-01-18 17:22:09",1,"","Peru","","",""
422426,14512,"Business Analyst","QA Engineer","Lima, Peru","via BeBee","Full-time","","Peru","2023-12-06 17:11:15",1,"","Peru","","",""
424201,2272,"Data Engineer","Azure Databricks Data Engineer","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-11-27 17:56:43",1,"","Peru","","",""
434223,14828,"Data Engineer","Data Engineer","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-27 17:43:01",1,"","Peru","","",""
441743,6521,"Data Engineer","Azure Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","","Peru","2023-08-06 18:22:42",1,"","Peru","","",""
442297,572,"Data Engineer","Data Engineer Advanced","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:45",1,"","Peru","","",""
453416,346,"Data Analyst","Data Processing Analyst","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-19 17:47:25",1,"","Peru","","",""
459503,10103,"Data Analyst","Data Analyst","Callao, Peru","via SmartRecruiters Job Search","Full-time","","Peru","2023-01-09 17:15:36",1,"","Peru","","",""
461084,2195,"Senior Data Engineer","Senior Data Engineer","Anywhere","via LinkedIn","Full-time",1,"Peru","2023-11-20 17:13:05","","","Peru","","",""
468011,572,"Senior Data Engineer","Data Engineer Semisenior","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:47","","","Peru","","",""
480711,16041,"Data Engineer","Practicante de Analytics/Data Engineer","Lima, Peru","via Trabajo.org","Full-time","","Peru","2023-03-19 17:35:04",1,"","Peru","","",""
482019,2948,"Data Engineer","Data Engineer","Peru","via LinkedIn","Full-time","","Peru","2023-10-24 17:12:05",1,"","Peru","","",""
493177,2195,"Senior Data Engineer","Senior Data Engineer (Azure) - Remote  from Peru","Anywhere","via Jobgether","Full-time",1,"Peru","2023-12-05 17:13:10","","","Peru","","",""
499296,2272,"Data Engineer","Data Engineer GCP","Lima, Peru","via LinkedIn","Full-time","","Peru","2023-09-19 17:22:58","","","Peru","","",""
513669,16860,"Data Engineer","Data Engineer AWS","Lima, Peru","via Indeed","Full-time","","Peru","2023-04-13 17:37:00","","","Peru","","",""
544293,14319,"Data Engineer","Specialist Data Engineer Python","Peru","via LinkedIn","Full-time","","Peru","2023-05-17 17:59:00",1,"","Peru","","",""
657106,572,"Software Engineer","Software Engineer Senior","Lima, Peru","via BeBee Perú","Full-time","","Peru","2023-12-12 17:29:47","","","Peru","","",""
667078,20561,"Data Engineer","Data Engineer Jr.","Santiago de Surco, Peru","via LinkedIn","Full-time","","Peru","2023-10-09 17:50:23",1,"","Peru","","",""
690369,21097,"Data Engineer","Data Engineer","Lima, Peru","via Indeed","Full-time","","Peru","2023-12-26 17:23:57",1,"","Peru","","",""
